16 nov 2013 IST 16nov2013_1 1370
38 27 off line start 1370
38 40 off line stop 1370
38 57 18:46:44-1:27:29on line start 1370
39 22 18:46:44-1:27:29on line stop 1370
39 23 18:46:44-1:27:29on line start 1390
39 33 18:46:44-1:27:29on line stop 1390
39 34 18:46:44-1:27:29on line start 1350
39 48 18:46:44-1:27:29on line stop 1350
39 49 off line start 1350
39 53 off line stop 1350
