18 nov 2013 IST 18nov2013_1 1370
16 15 off line start 1370
16 25 off line stop 1370
16 29 18:46:44-1:27:29on line start 1370
16 49 18:46:44-1:27:29on line start 1370
16 50 18:46:44-1:27:29on line start 1390
17 13 18:46:44-1:27:29on line stop 1390
17 17 18:46:44-1:27:29on line start 1350
17 29 18:46:44-1:27:29on line stop 1350
