13 feb 2014 IST 13feb2014_3 1370
62 36 002244+411609off line start 1370
62 42 002244+411609off line stop 1370
62 46 m31on line start 1370
62 52 m31on line stop 1370
62 57 010244+411609off line start 1370
63 03 010244+411609off line stop 1370
63 04 m31on line start 1370
63 10 m31on line stop 1370
63 12 002244+411609off line start 1370
63 18 002244+411609off line stop 1370
63 20 m31on line start 1370
63 26 m31on line stop 1370
63 29 010244+411609off line start 1370
63 35 010244+411609off line stop 1370
